user,location,date,coordinates,content
ANikhwai,,2019-12-17 07:11:17,,"an hour ago #earthquake 4.9 has hit Kiblawan (Davao), Philippines, 10.0km, 06:07 GMT (EMSC) https://t.co/KL11mOJEN9 https://t.co/PQbXOMNIcs"
AHACentre,"Jakarta, Indonesia",2019-12-17 07:10:46,,"FLASH UPDATE: No. 03 - M 6.9 Earthquake in Davao Del Sur, Philippines - 17 December 2019 - https://t.co/SpxTDTCH9H… https://t.co/unYva6MeIL"
lindolmo,"Quezon City, Philippines",2019-12-17 06:59:13,,"Earthquake Info from USGS - M 4.9 - 6km W of Kiblawan, Philippines https://t.co/c9dOfGnDcV"
EMSC,"Bruyères-Le-Chatel, France",2019-12-17 06:56:12,,#Earthquake (#lindol) M3.7 strikes 37 km N of General Santos (#Philippines) 14 min ago. More info: https://t.co/QDAEqyl6s2
qldstorms,South East Queensland,2019-12-17 06:50:09,,"Earthquake: Magnitude 5.1, Mindanao, Philippines https://t.co/deOGP0QQGt"
MonitoringA3M,"Tübingen, Deutschland",2019-12-17 06:40:32,,"Earthquake, Level 3, Moderate magnitude 4.9 M coastal earthquake at depth 10.00 km - Philippines… https://t.co/XArrf9RyWr"
MapQuake,,2019-12-17 06:36:27,,"M4.9 - 6km W of Kiblawan, Philippines
Mag: 4.9
Depth: 10km
Date-Time: 2019-12-17  06:07:17 UTC… https://t.co/PmeYTGJLbD"
EQAlerts,,2019-12-17 06:35:32,,"#Earthquake M3.2 009 km N 20° W of General Macarthur (Eastern Samar) (Philippines) 17 Dec 06:22 UTC - report/in...
https://t.co/miJFHDlwLD"
everyEarthquake,Earth,2019-12-17 06:35:02,"{'type': 'Point', 'coordinates': [125.1816, 6.618]}","USGS reports a M4.9 #earthquake 6km W of Kiblawan, Philippines on 12/17/19 @ 6:07:17 UTC https://t.co/8BV1cxVlSL #quake"
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 06:34:19,,"A M4.9 earthquake has been reported by the USGS for 6km W of Kiblawan, Philippines. Link: https://t.co/u1isczSVuK"
earthshook,,2019-12-17 06:33:33,"{'type': 'Point', 'coordinates': [125.1816, 6.618]}","Mb 4.9 earthquake (reviewed) occured at 2019-12-17T06:07:17 UTC, 6km W of Kiblawan, Philippines https://t.co/xAPlODgvF4"
DavaoPH,"Davao, Philippines",2019-12-17 06:33:22,"{'type': 'Point', 'coordinates': [125.1816, 6.618]}","4.9 earthquake, 6km W of Kiblawan, Philippines. 2019-12-17 14:07:17 at epicenter (27m ago, depth 10km). https://t.co/iyw6cLBCEW"
earthshook,,2019-12-17 06:32:32,"{'type': 'Point', 'coordinates': [125.1816, 6.618]}","Mb 4.9 earthquake (reviewed) occured at 2019-12-17T06:07:17 UTC, Mindanao, Philippines https://t.co/xAPlODgvF4"
LastQuake,"based in Paris, works globally",2019-12-17 06:28:03,"{'type': 'Point', 'coordinates': [125.34, 6.59]}",M4.9 #earthquake (#lindol) strikes 61 km SW of #Davao (#Philippines) 21 min ago. Updated map of its effects: https://t.co/yE6H7RzpdJ
EMSC,"Bruyères-Le-Chatel, France",2019-12-17 06:26:49,,#Earthquake (#lindol) M3.6 strikes 24 km S of #Digos (#Philippines) 26 min ago. More info: https://t.co/SLMJq2foTc
quakeupdates,"USA, Australia, Indonesia, NZ & Japan",2019-12-17 06:20:22,,"A M5.1 earthquake has been reported by the AGGA for Mindanao, Philippines. Link: https://t.co/y4AStoDJiL"
