user,location,date,coordinates,content
UPI,"Washington, D.C.",2020-01-08 19:07:04,,USGS sends more equipment to earthquake-rattled Puerto Rico https://t.co/9RuTNN3UmZ
chiquitolindo0,Altagracia De Orituco,2020-01-08 19:07:03,,"Marc Anthony, Luis Fonsi and more come together in wake of Puerto Rico’s devastating earthquake… https://t.co/uhVbZ4mQSm"
OaksBob,,2020-01-08 19:06:58,,"Florida state representative says Trump has ""hatred"" for Puerto Rico in wake of 6.4 magnitude earthquake https://t.co/kPcwXC88ed"
pumbarger,Austin,2020-01-08 19:06:42,,@Hope012015 @NBCNews Has Trump said anything about the earthquake in Puerto Rico? I am not sure he fully understand… https://t.co/5KCVbigVN4
twosheeep1,"Toronto, Ontario",2020-01-08 19:06:39,,USGS sends more equipment to earthquake-rattled Puerto Rico -  https://t.co/COSzam4tb3 https://t.co/cglLbM2Dp9
raymondtorres,"Orlando, FL.",2020-01-08 19:06:32,,"A 4.06 magnitude earthquake has occurred near Guanica, Puerto Rico at 1/8/20, 1:44 PM! https://t.co/Ss371CBGBQ"
lugrof,"Aguirre, Puerto Rico",2020-01-08 19:06:31,,"A 4.06 magnitude earthquake has occurred near Guanica, Puerto Rico at 14:44! https://t.co/6AoKgcw3gr https://t.co/rMgy8CXzMR"
TemblorPR,"San Juan, PR",2020-01-08 19:06:20,,"A 4.06 magnitude earthquake has occurred near Guanica, Puerto Rico at 1/8/20, 2:44 PM! #TemblorPR  https://t.co/GYaprXcBIe"
9111007Trust,,2020-01-08 19:06:17,,"A 4.06 magnitude earthquake has occurred near Guanica, Puerto Rico at 14:44! https://t.co/MXOhHpdxFE https://t.co/WjMZOirEK7"
SenJeffMerkley,Oregon,2020-01-08 19:06:09,,My heart goes out to the people of Puerto Rico having to endure another natural disaster. The Trump admin must act… https://t.co/aJHZ3j3DSG
LarryNak,🆃okyo,2020-01-08 19:06:08,,#CNN 🇺🇸Power is out and residents are sleeping outside after hundreds of earthquakes rattle Puerto Rico… https://t.co/2FckrcB13R
Standupcoyote,Washington DC,2020-01-08 19:05:46,,"Imagine if we had compassionate, ingenious, competent leadership.     https://t.co/YktNrIWOqP via @NYTimes"
John_R_Amelia,New Jersey,2020-01-08 19:05:46,,Magnitude 6.5 earthquake hits off Puerto Rico: USGS https://t.co/b7pgWMFLSB https://t.co/liYKjgub14
myearthquakeapp,Earth,2020-01-08 19:05:16,,"4.06 earthquake close to Guanica, Puerto Rico at 18:44 UTC! #earthquake #Guanica https://t.co/9kkCKblNkp"
leeone1,San Francisco,2020-01-08 19:05:02,,Puerto Rico slowly brings back electricity after powerful earthquake -- https://t.co/uSdhDPXqo4
Boba_Tea_Catan,Boba tea bar in CA-49,2020-01-08 19:04:51,,"And some more ways to help our fellow Americans in Puerto Rico
https://t.co/uNI1ODIioc"
nintendohyuck,nyc,2020-01-08 19:04:44,,"some of you may not know or care to know what puerto rico is, but it is a commonwealth territory of the US. the isl… https://t.co/bgpxf74IPL"
graceleefornyc,"New York, NY",2020-01-08 19:04:34,,"“This is an event we have never lived through before,” the governor said. “We were not prepared for this. There is… https://t.co/FArfB6GeUm"
crvaughn1368,"Atlanta, GA",2020-01-08 19:04:29,,State of emergency in Puerto Rico after deadly earthquake https://t.co/4XaVfPvVsh
LISTA1,NYC - DC- ATL- LA - SV,2020-01-08 19:03:57,,"FCC Assistance for Puerto Rico Earthquake Emergencies Available 24/7 
https://t.co/O2hVAcc7TX https://t.co/eJYSBrTK4H"
mlnangalama,"New Brunswick, Canada",2020-01-08 19:03:34,,via @PerilofAfrica Puerto Rico slowly brings back electricity after powerful earthquake: Puerto Rico's power grid c… https://t.co/v5p0yl6p3o
realDailyWire,"California, USA",2020-01-08 19:03:33,,"Puerto Rico In State Of Emergency After 6.4 Magnitude Earthquake Leaves Hundreds Homeless, Millions Without Power… https://t.co/DQyJ8ingkG"
manianca,"New York, USA",2020-01-08 19:02:44,,Power Outage Affects Two-Thirds of Puerto Rico After Earthquake https://t.co/vUTRckQcju @NYT @manianca via @circleboom
RickKarlinTU,Albany NY,2020-01-08 19:02:25,,"Gov Cuomo starts his State of the State speech saying ""It is going to be a challenging year,"" referencing the earth… https://t.co/l6qL7sR5PY"
doncarrdec,"ÜT: 32.77886,-96.57759",2020-01-08 19:02:10,,"A deadly earthquake has most of Puerto Rico with no power, no water and residents fear tremors will bring more dest… https://t.co/oFGSTaBQkJ"
AnneMcCloyNews,"Albany, NY",2020-01-08 19:02:05,,State of the State address is underway. Governor Cuomo begins with remarks in support of Puerto Rico after devastat… https://t.co/jqnRLxrUoz
socsqueez,The Southwest Desert,2020-01-08 19:01:52,,"Is the Universe trying to tell him something? Within days of his my-dick is-bigger-than-yours, wag-the-dog, mob-bos… https://t.co/zgzHA0XxPM"
robfwtx,"Greenville, TX",2020-01-08 19:01:47,,Much of Puerto Rico still without power after worst earthquake in a century | Puerto Rico - The Guardian https://t.co/Uz9R6BMSVz via @nuzzel
PROTECT_SRP,Puerto Rico,2020-01-08 19:01:38,,"2. The island has been trembling for over a week which has caused  400,000 people to lose power, 300,000 without wa… https://t.co/mthCswTARb"
JanKimbrough,,2020-01-08 19:01:17,,"@realDonaldTrump When are you going to mention Puerto Rico? First, a devastating hurricane, now a terrible earthqua… https://t.co/IDNQ1PhNhP"
