created_at,created_at_date,text
2021-03-05 00:49:11+00:00,2021-03-05,True!! The governor of Texas is incompetent. He should be eating humble pie after the mess Texas is in because they… https://t.co/5Qi11fnvIn
2021-03-05 00:29:05+00:00,2021-03-05,#texassnow #friscotx #squirrel #nikonphotography https://t.co/oiCTDLa2O3
2021-03-04 23:32:44+00:00,2021-03-04,"So the state that froze over lost power and charged customers $17,000 bills to pay for it has figured masks aren’t… https://t.co/OqoM7APdAH"
2021-03-04 20:37:47+00:00,2021-03-04,"☀️What a beautiful day to be on campus today! Catch us for some free Holleman swag 👍
.
.
#sweethomeholleman #aggies… https://t.co/A3VJ9kgzfT"
2021-03-04 19:44:16+00:00,2021-03-04,@jamesrambin Man I'd just like my neighbors toilet water to stop draining into my shower ceiling since the Texasfre… https://t.co/8Mz5MJqBV8
2021-03-04 17:35:30+00:00,2021-03-04,"Texas PUC chair in Texas House appropriations now asking for more funds. Says they relied on ERCOT experts before,… https://t.co/LcNNYRkNXN"
2021-03-04 17:27:52+00:00,2021-03-04,New Texas PUC chairman in House Appropriations now explaining market design and why electric companies are declarin… https://t.co/HP4vJ3wLmw
2021-03-04 17:24:49+00:00,2021-03-04,@Menendez4Texas asks Senate B&amp;C witness Webking who gets caught paying the bill that’s owed to ERCOT. Answered - ma… https://t.co/EPJ4mgVBWN
2021-03-04 16:42:42+00:00,2021-03-04,"The reality was the gas didn’t get to the power plant, and when you don’t get the gas the plant doesn’t run. Vistra… https://t.co/HE1vgIKlWz"
2021-03-04 16:42:37+00:00,2021-03-04,Critics say Texas Gov. Abbott lifted COVID-19 mandates to divert attention away from the continuing heat and drinka… https://t.co/ym6sKaPR9W
2021-03-04 16:13:45+00:00,2021-03-04,Vistra testifies to Texas Senate B&amp;C they have a loss of $900m to $1.3b from winter storm. Blames gas supply as mai… https://t.co/apSzOAdMC5
2021-03-04 15:39:03+00:00,2021-03-04,"Load serving entities do not usually hedge ancillary services, so the unregulated pricing has created a portion of… https://t.co/skJhEMkAs6"
2021-03-04 15:18:33+00:00,2021-03-04,Texas Senate B&amp;C hearing on financial fallout from winter storm underway now. First order of business - limit testi… https://t.co/fs4pvckdgj
2021-03-04 15:17:09+00:00,2021-03-04,"“We’ve forgotten that cold is a deadly foe and that reliable electricity is crucial not just to our comfort, but ou… https://t.co/srXXLfOFUG"
2021-03-04 15:15:36+00:00,2021-03-04,"Yep - we ain’t even surprised.
#texas #COVID #houstonfreeze #TexasFreeze #TexasReopening https://t.co/q4bTiqTIR7"
2021-03-04 14:57:10+00:00,2021-03-04,Following the #texaswinterstorm the statewide gas price average in #Texas is $2.47 for a gallon of regular unleaded… https://t.co/UaoCl9ufM8
2021-03-04 14:30:06+00:00,2021-03-04,I’m showing face and thoughts on some gruesome headlines we should be aware of with it’s trigger warnings as well a… https://t.co/hWBvLrY9ZS
2021-03-04 13:58:26+00:00,2021-03-04,Greg Abbott of Texas is Neanderthal per excellence. Lifting all restrictions in #Texas is to distract from his abys… https://t.co/1e45t8p2Et
2021-03-04 13:42:58+00:00,2021-03-04,Texas weather needs to make up its mind #TexasWeather https://t.co/Dtj0fnFN88
2021-03-04 13:28:58+00:00,2021-03-04,It never ceases to amaze me the level of incompetence the people of #Texas are willing to accept in their lawmakers… https://t.co/0YeqIzX0T6
2021-03-04 13:20:36+00:00,2021-03-04,I really appreciate all the businesses that are giving @GregAbbott_TX the finger by still following CDC guidelines.… https://t.co/R3z7niGxZy
2021-03-04 04:10:52+00:00,2021-03-04,The ERCOT board fired its CEO two weeks after an epic failure of the state's electric system left millions of Texan… https://t.co/geBPdy7ph8
2021-03-04 03:21:32+00:00,2021-03-04,Texas Weather~serving 4 seasons in 1 day! 🙈😜🤣😂😎 #humor #contagious #texashumor #texasweather 😎❤️ https://t.co/l1Tj88r7r4
2021-03-04 03:11:34+00:00,2021-03-04,BREAKING: #Texas’ power grid manager @ERCOT_ISO CEO Bill Magness has been fired following February’s deadly blackou… https://t.co/nzDmELN82Y
2021-03-04 02:44:25+00:00,2021-03-04,"#GregAbbott I know #Texans are mad at me about the #TexasPowerOutage 
 I know there isn't a cure for #Covid19 and o… https://t.co/zM4w6OWZX3"
2021-03-04 02:28:11+00:00,2021-03-04,@ravensflockNYY @tedcruz Please. Keep him in #CancunCruz I don't think the people of the #TexasFreeze even missed him.
2021-03-04 01:14:55+00:00,2021-03-04,"@KeithOlbermann I want them out!! I want them so out ! I want Cornyn, Ted Cruz, Louis Gohmert, Greg Abbott &amp; fuckin… https://t.co/yACJfeD0Ml"
2021-03-04 01:07:47+00:00,2021-03-04,@WasteManagement how is this even acceptable? It has been 2wks since the storm and there are about 5 trash bins lik… https://t.co/3tiNBPU53q
2021-03-04 00:01:09+00:00,2021-03-04,@MSNBC Well that's one way to change the narrative around that mess the @GOP created in the #TexasFreeze #noWater
2021-03-03 21:32:50+00:00,2021-03-03,#wonderfulwednesday  Beautiful day here in H-town!! Had to take a break from unpacking &amp; setting up my house to get… https://t.co/OmYI0iMYFw
2021-03-03 17:20:22+00:00,2021-03-03,@GregAbbott_TX I've forgotten all about that #TexasPowerOutage
2021-03-03 17:19:39+00:00,2021-03-03,@govkristinoem @GregAbbott_TX I've forgotten all about that #TexasBlackout
2021-03-03 16:47:55+00:00,2021-03-03,"@oncor update on #TexasFreeze has started. 

“We simply did not have enough electrons to deliver,” said Mark Carpen… https://t.co/Iw0AZ5Uo5b"
2021-03-03 15:03:33+00:00,2021-03-03,"#Texas electric utility hit with $2.1B ERCOT bill, files bankruptcy https://t.co/QqfoWMtVaY @KXAN_News #TexasFreeze"
2021-03-03 14:18:46+00:00,2021-03-03,"The folks @pecanstreetinc are out with some data on how residential solar fared during the #TexasBlackout 

It seem… https://t.co/TSiDTl2uxA"
2021-03-03 13:21:31+00:00,2021-03-03,"After Texas’ great success managing the electrical grid, they bring the same approach to Public Health because they… https://t.co/C2Zu6iGOv2"
2021-03-03 05:20:41+00:00,2021-03-03,Watch the reply! #TexasFreeze #RBGND #BlackClimateAgenda https://t.co/A4lRCMDIcD
2021-03-03 03:56:54+00:00,2021-03-03,@GovAbbott has a bad habit of putting Texans at risk. Whether it is his failure to oversee the #TexasBlackout… https://t.co/UVONxdK09N
2021-03-03 03:51:17+00:00,2021-03-03,@cbsaustin @HEB @HEB fed people during #TexasFreeze and will continue to save lives by keeping #MaskUpTexas in thei… https://t.co/rkwOo0p3V4
2021-03-03 02:51:42+00:00,2021-03-03,@washingtonpost Only trying to divert attention from #TexasFreeze and #TexasPowerOutage by helping spread #COVID in… https://t.co/W3KrKSqynV
