user,location,date,coordinates,content
TumDepremler,Türkiye,2021-02-11 08:39:25,,"#DEPREM #EARTHQUAKE
GOYNUK-GEDIZ (KUTAHYA)
https://t.co/Yf5YZOAWvj
11.02.2021, 11:10:17 TSİ (LocalTime)
Büyüklük (Magnitude): 2.2 ML
Derinlik (Depth): 5.4 KM

#Türkiye #Turkey #Goynuk #Gediz #Kutahya"
LastQuake,"based in Paris, works globally",2021-02-11 08:37:04,"{'type': 'Point', 'coordinates': [30.64, 40.69]}",Map of felt reports received so far following the #earthquake M3.7 in Western Turkey 1hr 0min ago https://t.co/Ixfqid9t7V
TumDepremler,Türkiye,2021-02-11 08:27:08,,"#DEPREM #EARTHQUAKE
YEGINLER-GEDIZ (KUTAHYA)
https://t.co/V6FCQB5Wdq
11.02.2021, 11:10:18 TSİ (LocalTime)
Büyüklük (Magnitude): 2.1 ML
Derinlik (Depth): 5.0 KM

#Türkiye #Turkey #Yeginler #Gediz #Kutahya"
TumDepremler,Türkiye,2021-02-11 08:00:20,,"#DEPREM #EARTHQUAKE
YUVALIK-AKYAZI (SAKARYA)
https://t.co/gLTv63TYLZ
11.02.2021, 10:47:11 TSİ (LocalTime)
Büyüklük (Magnitude): 2.2 ML
Derinlik (Depth): 5.0 KM

#Türkiye #Turkey #Yuvalik #Akyazi #Sakarya"
LastQuake,"based in Paris, works globally",2021-02-11 07:47:04,"{'type': 'Point', 'coordinates': [30.63, 40.71]}",M3.7 #earthquake (#deprem) strikes 21 km E of #Adapazarı (#Turkey) 11 min ago. Read eyewitnesses' stories &amp; share yours: https://t.co/VvTJRmBea9
TumDepremler,Türkiye,2021-02-11 07:45:15,,"#DEPREM #EARTHQUAKE
YUVALIK-AKYAZI (SAKARYA)
https://t.co/oZqCmvGXJO
11.02.2021, 10:36:25 TSİ (LocalTime)
Büyüklük (Magnitude): 3.7 ML
Derinlik (Depth): 7.5 KM

#Türkiye #Turkey #Yuvalik #Akyazi #Sakarya"
EQAlerts,,2021-02-11 07:44:11,,"#Earthquake M3.7 YUVALIK-AKYAZI (SAKARYA), Turkey 8mins ago 11 Feb 07:36 UTC - report/info: 
https://t.co/lGkIXcMkMq"
EQAlerts,,2021-02-11 07:44:10,,"#Earthquake M3.7 WESTERN TURKEY 8mins ago 11 Feb 07:36 UTC - report/info: 
https://t.co/1WoVy5i06b"
LastQuake,"based in Paris, works globally",2021-02-11 07:43:43,"{'type': 'Point', 'coordinates': [30.63, 40.71]}",This is the 3rd felt #earthquake in Western Turkey in the last 64 hours https://t.co/wPtMW5ND1t
LastQuake,"based in Paris, works globally",2021-02-11 07:43:43,"{'type': 'Point', 'coordinates': [30.63, 40.71]}",Felt #earthquake (#deprem) M3.7 strikes 21 km E of #Adapazarı (#Turkey) 7 min ago. Please report to: https://t.co/Ua2Y1cukTc https://t.co/lsam832Fs1
VolcanoEWS,Mars,2021-02-11 07:43:38,,New Earthquake 1.18 km of Yuvalık - Turkey - 3.70ml/8km - 11/02/2021 07:43:37 UTC (ISK/Automatic) #eqvyt_2085 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 07:43:25,,#Earthquake (#deprem) M3.7 strikes 21 km E of #Adapazarı (#Turkey) 7 min ago. More info: https://t.co/bTV276L9Ov
VolcanoEWS,Mars,2021-02-11 07:43:08,,New Earthquake 9.05 km of İnce Burun - Turkey - 2.50ml/7km - 11/02/2021 07:43:07 UTC (DDA/Automatic) #eqvyt_2084 (0x)
TumDepremler,Türkiye,2021-02-11 07:30:09,,"#DEPREM #EARTHQUAKE
CALOREN-SEREFLIKOCHISAR (ANKARA)
https://t.co/V8gVnF3YYj
11.02.2021, 10:20:52 TSİ (LocalTime)
Büyüklük (Magnitude): 2.5 ML
Derinlik (Depth): 4.6 KM

#Türkiye #Turkey #Caloren #Sereflikochisar #Ankara"
VolcanoEWS,Mars,2021-02-11 07:28:43,,New Earthquake 4.24 km of İğdeli Yaylası - Turkey - 2.50ml/5km - 11/02/2021 07:28:42 UTC (ISK/Automatic) #eqvyt_2081 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 07:28:27,,#Earthquake (#deprem) M2.5 strikes 28 km SE of #Şereflikoçhisar (#Turkey) 8 min ago. More info: https://t.co/pTRTGN625U
TumDepremler,Türkiye,2021-02-11 07:09:10,,"#DEPREM #EARTHQUAKE
KIYRA-ULA (MUGLA)
https://t.co/dqNOC8CvQm
11.02.2021, 09:56:08 TSİ (LocalTime)
Büyüklük (Magnitude): 2.1 ML
Derinlik (Depth): 3.0 KM

#Türkiye #Turkey #Kiyra #Ula #Mugla"
TumDepremler,Türkiye,2021-02-11 06:51:18,,"#DEPREM #EARTHQUAKE
ARIFIYE (SAKARYA)
https://t.co/uHjaRp3RCF
11.02.2021, 09:42:56 TSİ (LocalTime)
Büyüklük (Magnitude): 1.9 ML
Derinlik (Depth): 0.0 KM

#Türkiye #Turkey #Arifiye #Sakarya #ArifiyeSakarya"
TumDepremler,Türkiye,2021-02-11 06:12:16,,"#DEPREM #EARTHQUAKE
EGE DENIZI
https://t.co/geWQY227u1
11.02.2021, 08:55:26 TSİ (LocalTime)
Büyüklük (Magnitude): 1.5 ML
Derinlik (Depth): 25.7 KM

#Türkiye #Turkey #Ege #Denizi #EgeDenizi"
gulfinsgroup,"Ash sharq, al Asimah, Kuwait",2021-02-11 06:00:04,,"إسأل عن التأمين الإجباري ضد الزلازل لمجموعة الخليج
للتأمين - تركيا

Ask about compulsory earthquake
insurance for gig - Turkey

#giggroup #Gulf_Insurance_Group
#gigcommunity
#insurance #Kuwait #Bahrain
#Jordan #Egypt #Turkey #Algeria
#SaudiArabia #UAE #Qatar #Oman https://t.co/3mfOYVMZdf"
GlobalEarthqua1,,2021-02-11 04:13:49,,"An earthquake is expected in     EASTERN TURKEY 

Magnitude m b 4.3
Region EASTERN TURKEY
Date time 2021-02-11 15:04:06.8 UTC
Location 38.33 N ; 40.97 E
Depth 5 km
Distances291 km NW of Al Mawşil al Jadīdah, Iraq 
51 km N of Batman, Turkey https://t.co/zcYsAgxGwE"
TumDepremler,Türkiye,2021-02-11 04:12:11,,"#DEPREM #EARTHQUAKE
EGE DENIZI
https://t.co/5beT5tSoYi
11.02.2021, 06:54:51 TSİ (LocalTime)
Büyüklük (Magnitude): 2.2 ML
Derinlik (Depth): 21.5 KM

#Türkiye #Turkey #Ege #Denizi #EgeDenizi"
TumDepremler,Türkiye,2021-02-11 04:09:13,,"#DEPREM #EARTHQUAKE
EGE DENIZI
https://t.co/MzZCxNxCD3
11.02.2021, 06:53:27 TSİ (LocalTime)
Büyüklük (Magnitude): 2.3 ML
Derinlik (Depth): 4.1 KM

#Türkiye #Turkey #Ege #Denizi #EgeDenizi"
TumDepremler,Türkiye,2021-02-11 04:06:16,,"#DEPREM #EARTHQUAKE
EGE DENIZI
https://t.co/Wc4rvAT2Td
11.02.2021, 06:33:25 TSİ (LocalTime)
Büyüklük (Magnitude): 1.8 ML
Derinlik (Depth): 4.5 KM

#Türkiye #Turkey #Ege #Denizi #EgeDenizi"
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 03:41:07,,#Earthquake (#deprem) M2.0 strikes 127 km N of #Bafra (#Turkey) 28 min ago. More info: https://t.co/41EmiZI5jI
EMSC,"Bruyères-Le-Chatel, France",2021-02-11 03:30:46,,#Earthquake (#deprem) M2.1 strikes 27 km S of #Yunak (#Turkey) 1hr 4min ago. More info: https://t.co/bMIU1xOp6t
TumDepremler,Türkiye,2021-02-11 03:30:10,,"#DEPREM #EARTHQUAKE
AKDENIZ
https://t.co/nvke7TpKE9
11.02.2021, 06:23:41 TSİ (LocalTime)
Büyüklük (Magnitude): 2.3 ML
Derinlik (Depth): 13.1 KM

#Türkiye #Turkey #Akdeniz"
TumDepremler,Türkiye,2021-02-11 02:57:11,,"#DEPREM #EARTHQUAKE
KUMEOREN-GEMEREK (SIVAS)
https://t.co/jII6Br0agb
11.02.2021, 05:46:37 TSİ (LocalTime)
Büyüklük (Magnitude): 1.3 ML
Derinlik (Depth): 7.1 KM

#Türkiye #Turkey #Kumeoren #Gemerek #Sivas"
