user,location,date,coordinates,content
earthquakevt,Milky Way. ,2021-02-10 23:15:00,,"⚠️#Argentina🇦🇷: Un sismo leve de magnitud mb=4.3, se registró a 45 KM al SE de #Tinogasta, provincia de #Catamarca. Profundidad: 139,5 KM.
Más info: https://t.co/hHaQyTUqrK
¿Sintió este sismo?, ¡cuéntanos!.
#EQVT,#earthquake,#quake,#tremor,#seísmo,#sismo,#temblor,#terremoto. https://t.co/PIKVOlygqM"
ENSO1998,SE PA  USA,2021-02-10 22:52:25,,"Minor mag. 3.9 earthquake - Departamento de Susques, 220 km west of San Salvador de Jujuy, Departamento de Doctor Manuel Belgrano, Jujuy, Argentina, on Wednesday, 10 Feb 2021 6:52 pm (GMT -3) https://t.co/twWudVP2Af"
ENSO1998,SE PA  USA,2021-02-10 22:52:21,,"Minor mag. 3.9 earthquake - Departamento de Los Andes, Salta, 175 km west of San Salvador de Jujuy, Departamento de Doctor Manuel Belgrano, Jujuy, Argentina, on Wednesday, 10 Feb 2021 7:09 pm (GMT -3) https://t.co/Hz6N7DDAyl"
VolcanoEWS,Mars,2021-02-10 22:26:24,,New Earthquake 1.94 km of Saladillo - Argentina - 3.90ml/188km - 10/02/2021 22:26:23 UTC (CSN/Automatic) #eqvyt_1997 (0x)
VolcanoEWS,Mars,2021-02-10 22:16:27,,New Earthquake 7.86 km of Cerro del Medio - Argentina - 3.70m/213km - 10/02/2021 22:16:26 UTC (NSNA/Automatic) #eqvyt_1996 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 22:16:18,,#Earthquake (#sismo) M3.7 strikes 71 km W of San Antonio de los Cobres (#Argentina) 7 min ago. More info: https://t.co/9gozmKT84j
EQAlerts,,2021-02-10 22:16:12,,"#Earthquake M3.7 SALTA (Argentina) 7mins ago 10 Feb 22:09 UTC - report/info: 
https://t.co/x97TAPGcT5"
VolcanoEWS,Mars,2021-02-10 22:01:06,,New Earthquake 10.59 km of Junquillar - Argentina - 3.60m/199km - 10/02/2021 22:01:05 UTC (NSNA/Automatic) #eqvyt_1992 (0x)
EMSC,"Bruyères-Le-Chatel, France",2021-02-10 22:00:59,,#Earthquake (#sismo) M3.6 strikes 97 km W of San Antonio de los Cobres (#Argentina) 9 min ago. More info: https://t.co/22F8ws9Qnb
EQAlerts,,2021-02-10 21:58:10,,"#Earthquake M3.6 SALTA (Argentina) 6mins ago 10 Feb 21:52 UTC - report/info: 
https://t.co/PHoB6VWkFT"
AndyVermaut,"Diksmuide, België",2021-02-10 19:44:08,,"Light earthquake, 4.3 mag was detected near Tinogasta in Argentina https://t.co/UdAd9LQmCz"
ENSO1998,SE PA  USA,2021-02-10 19:12:21,,"Weak mag. 3.9 earthquake - CATAMARCA, ARGENTINA, on Wednesday, 10 February 2021 at 17:09 (GMT) https://t.co/3ItREuf5Ow"
EarthQuakesTime,Global,2021-02-10 19:04:32,,"Mag: 4.3 mb Feb-10-2021 a las 17:09 UTC en Catamarca, Argentina 🇦🇷 a 140 kilómetros de profundidad

Info: https://t.co/HqB329hKvT"
